Fecha,Hora,ZP,imecas,zona,contaminante,color
2019-05-16,15,NOO3,71.0,NO,O3,red
2019-05-16,16,NOO3,73.0,NO,O3,red
2019-05-01,1,NOSO2,2.0,NO,SO2,gray
2019-05-01,2,NOSO2,2.0,NO,SO2,gray
2019-05-01,3,NOSO2,2.0,NO,SO2,gray
2019-05-01,4,NOSO2,2.0,NO,SO2,gray
2019-05-01,5,NOSO2,2.0,NO,SO2,gray
2019-05-01,6,NOSO2,2.0,NO,SO2,gray
2019-05-01,7,NOSO2,2.0,NO,SO2,gray
2019-05-01,8,NOSO2,2.0,NO,SO2,gray
2019-05-01,9,NOSO2,2.0,NO,SO2,gray
2019-05-01,10,NOSO2,2.0,NO,SO2,gray
2019-05-01,11,NOSO2,2.0,NO,SO2,gray
2019-05-01,12,NOSO2,2.0,NO,SO2,gray
2019-05-01,13,NOSO2,2.0,NO,SO2,gray
2019-05-01,14,NOSO2,2.0,NO,SO2,gray
2019-05-01,15,NOSO2,2.0,NO,SO2,gray
2019-05-01,16,NOSO2,2.0,NO,SO2,gray
2019-05-01,17,NOSO2,2.0,NO,SO2,gray
2019-05-01,18,NOSO2,2.0,NO,SO2,gray
2019-05-01,19,NOSO2,3.0,NO,SO2,gray
2019-05-01,20,NOSO2,3.0,NO,SO2,gray
2019-05-01,21,NOSO2,3.0,NO,SO2,gray
2019-05-01,22,NOSO2,3.0,NO,SO2,gray
2019-05-01,23,NOSO2,3.0,NO,SO2,gray
2019-05-01,24,NOSO2,3.0,NO,SO2,gray
2019-05-02,1,NOSO2,3.0,NO,SO2,gray
2019-05-02,2,NOSO2,3.0,NO,SO2,gray
2019-05-02,3,NOSO2,3.0,NO,SO2,gray
2019-05-02,4,NOSO2,2.0,NO,SO2,gray
2019-05-02,5,NOSO2,2.0,NO,SO2,gray
2019-05-02,6,NOSO2,2.0,NO,SO2,gray
2019-05-02,7,NOSO2,2.0,NO,SO2,gray
2019-05-02,8,NOSO2,2.0,NO,SO2,gray
2019-05-02,9,NOSO2,3.0,NO,SO2,gray
2019-05-02,10,NOSO2,3.0,NO,SO2,gray
2019-05-02,11,NOSO2,2.0,NO,SO2,gray
2019-05-02,12,NOSO2,2.0,NO,SO2,gray
2019-05-02,13,NOSO2,2.0,NO,SO2,gray
2019-05-02,14,NOSO2,2.0,NO,SO2,gray
2019-05-02,15,NOSO2,3.0,NO,SO2,gray
2019-05-02,16,NOSO2,3.0,NO,SO2,gray
2019-05-02,17,NOSO2,3.0,NO,SO2,gray
2019-05-02,18,NOSO2,2.0,NO,SO2,gray
2019-05-02,19,NOSO2,2.0,NO,SO2,gray
2019-05-02,20,NOSO2,2.0,NO,SO2,gray
2019-05-02,21,NOSO2,2.0,NO,SO2,gray
2019-05-02,22,NOSO2,2.0,NO,SO2,gray
2019-05-02,23,NOSO2,2.0,NO,SO2,gray
2019-05-02,24,NOSO2,2.0,NO,SO2,gray
2019-05-03,1,NOSO2,2.0,NO,SO2,gray
2019-05-03,2,NOSO2,2.0,NO,SO2,gray
2019-05-03,3,NOSO2,2.0,NO,SO2,gray
2019-05-03,4,NOSO2,2.0,NO,SO2,gray
2019-05-03,5,NOSO2,2.0,NO,SO2,gray
2019-05-03,6,NOSO2,2.0,NO,SO2,gray
2019-05-03,7,NOSO2,2.0,NO,SO2,gray
2019-05-03,8,NOSO2,2.0,NO,SO2,gray
2019-05-03,9,NOSO2,2.0,NO,SO2,gray
2019-05-03,10,NOSO2,2.0,NO,SO2,gray
2019-05-03,11,NOSO2,2.0,NO,SO2,gray
2019-05-03,12,NOSO2,2.0,NO,SO2,gray
2019-05-03,13,NOSO2,2.0,NO,SO2,gray
2019-05-03,14,NOSO2,2.0,NO,SO2,gray
2019-05-03,15,NOSO2,2.0,NO,SO2,gray
2019-05-03,16,NOSO2,2.0,NO,SO2,gray
2019-05-03,17,NOSO2,2.0,NO,SO2,gray
2019-05-03,18,NOSO2,2.0,NO,SO2,gray
2019-05-03,19,NOSO2,2.0,NO,SO2,gray
2019-05-03,20,NOSO2,2.0,NO,SO2,gray
2019-05-03,21,NOSO2,2.0,NO,SO2,gray
2019-05-03,22,NOSO2,2.0,NO,SO2,gray
2019-05-03,23,NOSO2,2.0,NO,SO2,gray
2019-05-03,24,NOSO2,2.0,NO,SO2,gray
2019-05-04,1,NOSO2,2.0,NO,SO2,gray
2019-05-04,2,NOSO2,2.0,NO,SO2,gray
2019-05-04,3,NOSO2,2.0,NO,SO2,gray
2019-05-04,4,NOSO2,2.0,NO,SO2,gray
2019-05-04,5,NOSO2,2.0,NO,SO2,gray
2019-05-04,6,NOSO2,2.0,NO,SO2,gray
2019-05-04,7,NOSO2,2.0,NO,SO2,gray
2019-05-04,8,NOSO2,2.0,NO,SO2,gray
2019-05-04,9,NOSO2,2.0,NO,SO2,gray
2019-05-04,10,NOSO2,2.0,NO,SO2,gray
2019-05-04,11,NOSO2,2.0,NO,SO2,gray
2019-05-04,12,NOSO2,2.0,NO,SO2,gray
2019-05-04,13,NOSO2,2.0,NO,SO2,gray
2019-05-04,14,NOSO2,2.0,NO,SO2,gray
2019-05-04,15,NOSO2,2.0,NO,SO2,gray
2019-05-04,16,NOSO2,2.0,NO,SO2,gray
2019-05-04,17,NOSO2,2.0,NO,SO2,gray
2019-05-04,18,NOSO2,2.0,NO,SO2,gray
2019-05-04,19,NOSO2,2.0,NO,SO2,gray
2019-05-04,20,NOSO2,2.0,NO,SO2,gray
2019-05-04,21,NOSO2,2.0,NO,SO2,gray
2019-05-04,22,NOSO2,2.0,NO,SO2,gray
2019-05-04,23,NOSO2,2.0,NO,SO2,gray
2019-05-04,24,NOSO2,2.0,NO,SO2,gray
2019-05-05,1,NOSO2,2.0,NO,SO2,gray
2019-05-05,2,NOSO2,2.0,NO,SO2,gray
2019-05-05,3,NOSO2,2.0,NO,SO2,gray
2019-05-05,4,NOSO2,2.0,NO,SO2,gray
2019-05-05,5,NOSO2,2.0,NO,SO2,gray
2019-05-05,6,NOSO2,2.0,NO,SO2,gray
2019-05-05,7,NOSO2,2.0,NO,SO2,gray
2019-05-05,8,NOSO2,2.0,NO,SO2,gray
2019-05-05,9,NOSO2,2.0,NO,SO2,gray
2019-05-05,10,NOSO2,2.0,NO,SO2,gray
2019-05-05,11,NOSO2,2.0,NO,SO2,gray
2019-05-05,12,NOSO2,2.0,NO,SO2,gray
2019-05-05,13,NOSO2,2.0,NO,SO2,gray
2019-05-05,14,NOSO2,2.0,NO,SO2,gray
2019-05-05,15,NOSO2,2.0,NO,SO2,gray
2019-05-05,16,NOSO2,2.0,NO,SO2,gray
2019-05-05,17,NOSO2,2.0,NO,SO2,gray
2019-05-05,18,NOSO2,2.0,NO,SO2,gray
2019-05-05,19,NOSO2,2.0,NO,SO2,gray
2019-05-05,20,NOSO2,2.0,NO,SO2,gray
2019-05-05,21,NOSO2,2.0,NO,SO2,gray
2019-05-05,22,NOSO2,2.0,NO,SO2,gray
2019-05-05,23,NOSO2,2.0,NO,SO2,gray
2019-05-05,24,NOSO2,2.0,NO,SO2,gray
2019-05-06,1,NOSO2,2.0,NO,SO2,gray
2019-05-06,2,NOSO2,2.0,NO,SO2,gray
2019-05-06,3,NOSO2,2.0,NO,SO2,gray
2019-05-06,4,NOSO2,2.0,NO,SO2,gray
2019-05-06,5,NOSO2,2.0,NO,SO2,gray
2019-05-06,6,NOSO2,2.0,NO,SO2,gray
2019-05-06,7,NOSO2,2.0,NO,SO2,gray
2019-05-06,8,NOSO2,2.0,NO,SO2,gray
2019-05-06,9,NOSO2,2.0,NO,SO2,gray
